Country	Gini Index Income Inequality
Albania	29
Algeria	35.3
Argentina	42.7
Armenia	31.5
Australia	30.3
Austria	29.2
Azerbaijan	33.7
Bangladesh	32.1
Belarus	26.5
Belgium	25.9
Benin	36.5
Bhutan	38.8
Bolivia	47
Bosnia and Herzegovina	36.2
Botswana	60.5
Brazil	49.7
Bulgaria	37
Burkina Faso	39.5
Burundi	42.4
Cambodia	37.9
Cameroon	44.6
Canada	32.1
Central African Republic	61.3
Chad	43.3
Chile	50.5
China	46.5
Colombia	53.5
Costa Rica	48.5
Cote d'Ivoire	41.5
Croatia	32
Cyprus	34.8
Czechia	25
Denmark	28.8
Djibouti	40.9
Dominican Republic	47.1
Ecuador	48.5
Egypt	30.8
El Salvador	37
Estonia	34.8
Ethiopia	33
European Union	31
Falkland Islands (Islas Malvinas)	36
Faroe Islands	22.7
Finland	21.5
France	29.2
"Gambia, The"	50.2
Georgia	40.1
Germany	27
Ghana	42.3
Greece	36.7
Greenland	33.9
Guatemala	53
Guinea	39.4
Guyana	44.6
Haiti	60.8
Honduras	47.1
Hong Kong	53.7
Hungary	28.2
Iceland	28
India	35.2
Indonesia	36.8
Iran	44.5
Ireland	31.3
Israel	42.8
Italy	31.9
Jamaica	45.5
Japan	37.9
Jordan	39.7
Kazakhstan	26.3
Kenya	42.5
"Korea, South"	34.1
Kosovo	30
Kyrgyzstan	33.4
Laos	36.7
Latvia	34.5
Lesotho	63.2
Liberia	32
Lithuania	37.9
Luxembourg	30.4
Macau	35
Macedonia	33.7
Madagascar	41
Malawi	46.1
Malaysia	46.2
Maldives	38.4
Mali	40.1
Malta	28.1
Mauritania	37
Mauritius	35.9
Mexico	48.2
"Micronesia, Federated States of"	61.1
Moldova	26.8
Mongolia	36.5
Montenegro	26.2
Morocco	40.9
Mozambique	45.6
Namibia	59.7
Nepal	32.8
Netherlands	30.3
New Zealand	36.2
Nicaragua	47.1
Niger	34
Nigeria	48.8
Norway	26.8
Pakistan	30.7
Panama	50.7
Papua New Guinea	50.9
Paraguay	51.7
Peru	45.3
Philippines	44.4
Poland	30.8
Portugal	33.9
Romania	27.3
Russia	41.2
Rwanda	46.8
Saudi Arabia	45.9
Senegal	40.3
Serbia	38.7
Sierra Leone	34
Singapore	45.8
Slovakia	23.7
Slovenia	24.5
South Africa	62.5
South Sudan	46
Spain	35.9
Sri Lanka	49
Swaziland	50.4
Sweden	24.9
Switzerland	29.5
Taiwan	33.6
Tajikistan	32.6
Tanzania	37.6
Thailand	44.5
Timor-Leste	31.9
Togo	46
Tunisia	40
Turkey	40.2
Turkmenistan	40.8
Uganda	39.5
Ukraine	24.6
United Kingdom	32.4
United States	45
Uruguay	41.6
Uzbekistan	36.8
Venezuela	39
Vietnam	37.6
West Bank	34.5
Yemen	37.9
Zambia	57.5
Zimbabwe	50.1
